Transaction_ID,Device,Location,Merchant,Amount,Payment_Mode,Transaction_Timestamp,Fraud
TXN90156497,Web,Delhi,Myntra,6096,UPI,2025-03-30 09:40:42,0
TXN59579677,Web,Pune,BigBasket,3259,Credit Card,2025-08-06 01:45:11,0
TXN77180402,Android,Pune,Forex Exchange,1227,UPI,2025-05-14 03:25:24,0
TXN76638251,Web,Delhi,Myntra,7481,Wallet,2025-09-02 21:02:20,0
TXN56462527,iPhone,Pune,Nykaa,412,Debit Card,2025-08-28 23:28:33,0
TXN29492394,Web,Pune,JioMart,11022,Debit Card,2025-02-11 14:59:07,0
TXN60589450,Android,Kolkata,Nykaa,2865,UPI,2025-09-20 09:16:32,0
TXN92492331,iPhone,Ahmedabad,Quikr,27973,UPI,2025-06-15 01:11:35,0
TXN59924160,Web,Pune,Flipkart,6979,Debit Card,2025-03-24 06:27:22,0
TXN69231053,Web,Kolkata,Amazon,9032,UPI,2025-08-31 15:33:54,0
TXN65070380,Web,Kolkata,BigBasket,7431,Credit Card,2025-12-30 02:56:02,0
TXN10202887,iPhone,Ahmedabad,Blinkit,7744,UPI,2025-02-12 12:31:55,0
TXN12687537,Web,Pune,JioMart,6294,UPI,2025-02-10 15:50:39,0
TXN98585190,Android,Pune,AJIO,8899,Wallet,2025-06-06 17:52:06,0
TXN67411380,Android,Pune,Quikr,25870,UPI,2025-08-01 15:04:32,0
TXN99537843,iPhone,Chennai,Nykaa,7235,Debit Card,2025-04-03 11:46:25,0
TXN15881028,Web,Chennai,Croma,5383,UPI,2025-11-09 20:32:42,0
TXN24826478,Android,Mumbai,Blinkit,3710,UPI,2025-12-23 01:24:36,0
TXN19845563,Android,Bengaluru,Myntra,7844,Credit Card,2025-04-08 21:17:07,0
TXN36823494,iPhone,Hyderabad,OLX,6706,Credit Card,2025-04-01 00:24:28,0
TXN72223004,iPhone,Ahmedabad,Blinkit,9532,Debit Card,2025-11-18 14:03:32,0
TXN86829472,Android,Mumbai,Croma,1853,UPI,2025-06-22 05:25:46,0
TXN37918961,Web,Pune,Quikr,6433,UPI,2025-12-30 12:02:53,1
TXN93476688,iPhone,Pune,OLX,10748,Debit Card,2025-11-23 22:22:19,0
TXN20858266,Android,Ahmedabad,Used Phone Store,25405,UPI,2025-03-30 10:46:21,0
TXN13485480,iPhone,Delhi,Blinkit,2069,Debit Card,2025-09-06 02:46:28,0
TXN51746699,iPhone,Bengaluru,Nykaa,5542,UPI,2025-03-16 06:40:37,0
TXN69368449,Web,Mumbai,AJIO,753,UPI,2025-10-17 06:37:08,0
TXN19653965,iPhone,Ahmedabad,BonusWallet,44243,Debit Card,2025-09-17 06:42:36,0
TXN96228647,Android,Hyderabad,Flipkart,7488,UPI,2025-10-28 01:42:30,0
TXN64682186,Android,Delhi,Blinkit,9339,UPI,2025-03-01 14:20:15,0
TXN56456604,iPhone,Delhi,BigBasket,11841,UPI,2025-09-14 17:06:45,0
TXN24654066,iPhone,Ahmedabad,Tata Cliq,3570,UPI,2025-02-13 06:09:48,0
TXN88844660,Android,Bengaluru,IRCTC,9138,UPI,2025-10-21 00:08:31,0
TXN45467490,Android,Delhi,AJIO,3945,UPI,2025-12-21 15:14:19,0
TXN20646148,Android,Hyderabad,Gaming Recharge,650,UPI,2025-04-01 03:40:54,0
TXN39092990,Web,Pune,BookMyShow,8690,Credit Card,2025-05-14 15:02:22,0
TXN51445763,Web,Hyderabad,IRCTC,8803,Debit Card,2025-10-22 11:08:44,0
TXN64982185,iPhone,Chennai,Forex Exchange,4068,UPI,2025-06-19 02:40:31,1
TXN96360347,iPhone,Hyderabad,Myntra,11719,Debit Card,2025-03-25 01:55:02,0
TXN37585857,iPhone,Delhi,Gaming Recharge,20920,Debit Card,2025-11-27 05:56:16,0
TXN25359697,Web,Bengaluru,IRCTC,4772,Debit Card,2025-04-03 19:36:04,0
TXN60255949,Web,Delhi,InstantCrypto,79423,UPI,2025-07-12 22:36:50,1
TXN86786997,Web,Ahmedabad,AJIO,3733,UPI,2025-08-19 16:02:32,0
TXN35345045,Android,Pune,JioMart,7542,Credit Card,2025-07-08 01:05:57,0
TXN39674650,Android,Bengaluru,FastCash,9030,Debit Card,2025-01-30 00:27:41,0
TXN92569738,Android,Mumbai,Amazon,7523,Credit Card,2025-07-26 14:11:02,0
TXN59070025,Android,Kolkata,Gaming Recharge,2577,Debit Card,2025-12-19 19:45:40,0
TXN55198264,iPhone,Pune,Zomato,2038,Credit Card,2025-03-27 23:38:53,0
TXN85653495,iPhone,Chennai,Myntra,5900,UPI,2025-01-24 20:14:37,0
TXN40315530,Web,Mumbai,Nykaa,10432,Wallet,2025-05-07 06:30:31,0
TXN77307483,Web,Bengaluru,InstantCrypto,24667,Credit Card,2025-02-10 23:29:45,1
TXN23357640,iPhone,Chennai,AnonymousSeller,52237,UPI,2025-01-04 13:47:23,1
TXN28616510,Web,Chennai,Blinkit,1698,Debit Card,2025-09-07 13:22:48,0
TXN77882261,Android,Delhi,Tata Cliq,2797,Debit Card,2025-01-24 04:28:43,0
TXN12339539,Android,Bengaluru,Gaming Recharge,21271,UPI,2025-02-17 15:46:52,0
TXN58459247,Web,Pune,Local Seller,28467,UPI,2025-01-04 19:08:59,1
TXN44352163,Web,Chennai,InstantCrypto,22129,UPI,2025-07-07 20:41:25,1
TXN65480320,iPhone,Pune,Croma,2822,Wallet,2025-04-19 20:32:40,0
TXN64992914,iPhone,Delhi,Myntra,1692,UPI,2025-08-06 06:35:25,0
TXN56509285,Android,Mumbai,AJIO,11151,Credit Card,2025-07-20 08:17:27,0
TXN12699806,iPhone,Ahmedabad,BookMyShow,11436,UPI,2025-11-23 06:37:10,0
TXN53111159,Web,Mumbai,Croma,1164,Credit Card,2025-07-02 17:01:52,0
TXN53226369,Web,Mumbai,Myntra,2402,UPI,2025-01-09 07:42:39,0
TXN96992679,Android,Ahmedabad,BookMyShow,8013,UPI,2025-07-10 00:07:37,0
TXN67090664,Web,Delhi,GiftCardHub,5711,UPI,2025-11-27 03:55:48,1
TXN35377896,Web,Mumbai,Amazon,1339,UPI,2025-10-02 03:33:04,0
TXN85777947,iPhone,Ahmedabad,JioMart,4693,UPI,2025-05-10 14:29:38,0
TXN79407919,Web,Bengaluru,Flipkart,10373,Debit Card,2025-08-21 02:24:05,0
TXN81961544,Android,Bengaluru,BookMyShow,11196,Credit Card,2025-10-17 02:08:57,0
TXN25312955,Web,Bengaluru,Nykaa,8266,Debit Card,2025-01-20 05:45:49,0
TXN25160906,Android,Delhi,Gaming Recharge,1741,Debit Card,2025-02-18 05:30:49,0
TXN96199913,Android,Pune,Myntra,6409,UPI,2025-08-17 19:45:21,0
TXN92273782,iPhone,Delhi,Gift Card Store,21049,UPI,2025-03-02 00:58:58,0
TXN43978241,Android,Hyderabad,Zomato,3995,UPI,2025-04-12 11:44:56,0
TXN33364416,Android,Ahmedabad,Gaming Recharge,19183,Debit Card,2025-12-08 06:26:58,0
TXN73746304,Web,Mumbai,Zomato,417,UPI,2025-06-23 12:50:15,0
TXN60132657,iPhone,Hyderabad,BookMyShow,1405,Debit Card,2025-02-03 03:53:18,0
TXN98042777,Web,Chennai,CryptoX,5583,Debit Card,2025-07-18 17:33:35,1
TXN32270589,Web,Mumbai,Amazon,5991,UPI,2025-03-28 10:07:21,0
TXN17296876,iPhone,Chennai,JioMart,10224,Credit Card,2025-08-25 05:44:23,0
TXN53463615,Android,Kolkata,Swiggy,9876,UPI,2025-02-06 04:12:10,0
TXN23483213,Android,Ahmedabad,Local Electronics,14624,Credit Card,2025-06-18 22:56:18,0
TXN94718773,Android,Ahmedabad,Swiggy,3828,UPI,2025-06-09 05:53:20,0
TXN38835195,iPhone,Chennai,Nykaa,8694,UPI,2025-08-15 00:06:43,0
TXN31851829,iPhone,Ahmedabad,JioMart,7718,UPI,2025-06-24 01:20:39,0
TXN37118264,Android,Ahmedabad,Amazon,3409,UPI,2025-01-19 08:03:19,0
